Date,Open,High,Low,Close,Volume
02/04/2025,115.45,119.85,114.79,119.5,69412086
02/03/2025,113.88,115.16,112.98,114.27,34586047
01/31/2025,119.14,119.57,115.33,115.95,40533566
01/30/2025,118.53,120.44,117.09,118.86,29788381
01/29/2025,115.77,118.52,114.96,117.35,40199047
01/28/2025,115.18,116.15,112.95,114.17,40554762
01/27/2025,117.8,118.08,112.8,115.01,61067887
01/24/2025,124.55,125.25,122.23,122.84,31570301
01/23/2025,121.43,123.71,120.63,123.04,24921109
01/22/2025,123.08,125.65,121.91,123.75,35023840
01/21/2025,122.39,123.75,121.12,122.28,31578830
01/17/2025,120.78,122.74,120.55,121.46,35765922
01/16/2025,120.24,121.09,118.25,118.44,29414131
01/15/2025,117.55,120.42,117.46,119.96,38185820
01/14/2025,118,118.66,114.5,116.09,37005281
01/13/2025,115.28,117.48,114.41,117.32,39128898
01/10/2025,118.18,118.71,114.45,116.04,59415609
01/08/2025,124.51,125.3,120.12,121.84,46723141
01/07/2025,130.51,131.71,126.85,127.33,39220406
01/06/2025,129.07,130.73,127.36,129.55,48020191
01/03/2025,121.65,125.56,121.42,125.37,36785301
01/02/2025,122.29,123.14,119.44,120.63,34256180
12/31/2024,123.1,123.55,120.14,120.79,30203430
12/30/2024,123.56,124.1,122.35,122.44,30501641
12/27/2024,124.37,126.18,122.26,125.19,32924012
12/26/2024,125.52,127.3,125.05,125.06,25139141
12/24/2024,127.51,127.51,124.66,126.29,24829561
12/23/2024,120.71,126.34,120.47,124.6,47777898
12/20/2024,118,121.86,117.9,119.21,53591207
12/19/2024,122.16,123.38,118.45,118.88,46160672
12/18/2024,125.43,127.75,120.43,121.41,49724441
12/17/2024,124.45,127.08,123.15,125.02,43314941
12/16/2024,126.01,127.76,123.12,126.69,42090281
12/13/2024,131.3,131.3,124.77,126.91,67544734
12/12/2024,130,132.32,129.07,130.6,34267090
12/11/2024,128.52,131.21,126.22,130.15,45588141
12/10/2024,131.56,131.56,127.07,127.74,38907199
12/09/2024,135.71,135.77,130,130.87,57055559
12/06/2024,141.48,142.79,137.4,138.59,33576840
12/05/2024,143.68,143.95,140.38,141.36,29576930
12/04/2024,142.96,144.12,141.18,143.99,25942650
12/03/2024,142.58,143.45,141.08,141.98,22665350
12/02/2024,137.92,142.82,137.8,142.06,33102441
11/29/2024,136.24,138.59,135.78,137.18,16085710
11/27/2024,137.2,137.94,132.96,136.24,30175289
11/26/2024,142.55,142.8,136.62,137.72,32092381
11/25/2024,140.49,142.35,139.05,141.13,30923109
11/22/2024,137.35,139.13,137.04,138.35,21784730
11/21/2024,138.87,140.28,134.93,137.49,29311439
11/20/2024,138.96,140.77,135.48,137.6,28843070
11/19/2024,137.41,139.75,137.14,139.39,23131350
11/18/2024,138.19,140.9,137.21,138.93,38782434
11/15/2024,136.58,137.35,133.65,134.9,44217527
11/14/2024,140.34,141.4,138.56,138.84,31681410
11/13/2024,142.86,144.49,139.07,139.3,35146648
11/12/2024,147,147.45,141.55,143.63,33560289
11/11/2024,147.38,148.57,144.91,147.35,29868131
11/08/2024,149.39,150.71,147.53,147.95,27560340
11/07/2024,146.68,150.12,145.66,149.82,30326430
11/06/2024,144.95,145.63,141.52,145.1,32911500
11/05/2024,141.94,143.08,140.8,141.66,27067330
11/04/2024,141.7,143.64,139.72,140.71,29117420
11/01/2024,144.44,144.54,141.32,141.86,39027434
10/31/2024,147.8,148.68,143.33,144.07,44386602
10/30/2024,153.01,153.12,148.1,148.6,87701672
10/29/2024,161.1,167.51,158.94,166.25,71896039
10/28/2024,158.5,160.28,157.05,159.92,36010129
10/25/2024,155.4,158.91,155.05,156.23,29758490
10/24/2024,154.74,155.19,152.35,153.44,22877020
10/23/2024,153,153.45,150.52,152.91,26095930
10/22/2024,156.6,156.74,151.91,154.09,34997352
10/21/2024,155.76,158,154.15,157.9,25781211
10/18/2024,157.41,158.01,155.56,155.97,23822990
10/17/2024,160,160.44,156.2,156.25,29491850
10/16/2024,158.08,158.28,154.92,156.13,30575770
10/15/2024,163.21,164.13,155.74,156.64,50768020
10/14/2024,167.77,168.9,165.15,165.27,31757211
10/11/2024,164.19,169.35,163.01,167.89,42136180
10/10/2024,169.76,172.01,162,164.18,75113594
10/09/2024,174.05,174.05,169.55,171.02,33890738
10/08/2024,171.75,173.6,170,172.8,34730152
